provider,model,game_number,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20
openai,gpt-3.5-turbo,1,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,2,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,3,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,4,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,5,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,6,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,7,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,8,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,9,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,10,,,,,,,,,,,,,,,,,,,,
